scenario,frame,axis,raw_input,measured_final,intended_stateful_final,expected_output_axis,bridge_output_value,vjoy_write_value,wrote_this_tick,write_status,final_abs_diff,output_abs_diff
axis_sine_fake,22,Throttle,0.740414,0.7121350957387532,0.7121287907801367,Z,0.7121350957387532,,False,skipped_rate_limited,6e-06,6e-06
axis_sine_fake,22,Yaw,0.024216,0.07994742991879737,0.07994533129964505,RX,0.07994742991879737,,False,skipped_rate_limited,2e-06,2e-06
axis_sine_fake,22,Aux 1,-0.919677,-0.8837088671016246,-0.8837137360394508,RY,-0.8837088671016246,,False,skipped_rate_limited,5e-06,5e-06
axis_sine_fake,22,Aux 2,-0.439109,-0.4063934595979035,-0.40638695044591727,RZ,-0.4063934595979035,,False,skipped_rate_limited,7e-06,7e-06
axis_sine_fake,23,Roll,0.919127,0.8652894637697288,0.8652791201478041,X,0.8652894637697288,,False,skipped_rate_limited,1e-05,1e-05
axis_sine_fake,23,Pitch,0.719875,0.6010142695440683,0.6010078178671707,Y,0.6010142695440683,,False,skipped_rate_limited,6e-06,6e-06
axis_sine_fake,23,Throttle,0.712306,0.6826428159660646,0.6826402786441803,Z,0.6826428159660646,,False,skipped_rate_limited,3e-06,3e-06
axis_sine_fake,23,Yaw,-0.04036,0.059916781646330554,0.05991593778483867,RX,0.059916781646330554,,False,skipped_rate_limited,1e-06,1e-06
axis_sine_fake,23,Aux 1,-0.919127,-0.8861014769301001,-0.8860924521205075,RY,-0.8861014769301001,,False,skipped_rate_limited,9e-06,9e-06
axis_sine_fake,23,Aux 2,-0.381308,-0.3576670409135823,-0.35766575947751145,RZ,-0.3576670409135823,,False,skipped_rate_limited,1e-06,1e-06
axis_sine_fake,24,Roll,0.914031,0.8611197609329252,0.8611050651626965,X,0.8611197609329252,0.8611197609329252,True,fake_write_recorded,1.5e-05,1.5e-05
axis_sine_fake,24,Pitch,0.677913,0.5541955370179246,0.5541854579768108,Y,0.5541955370179246,0.5541955370179246,True,fake_write_recorded,1e-05,1e-05
axis_sine_fake,24,Throttle,0.683162,0.6523757932613999,0.652371356003883,Z,0.6523757932613999,0.6523757932613999,True,fake_write_recorded,4e-06,4e-06
axis_sine_fake,24,Yaw,-0.104723,0.036932358477714956,0.03693134497838055,RX,0.036932358477714956,0.036932358477714956,True,fake_write_recorded,1e-06,1e-06
axis_sine_fake,24,Aux 1,-0.914031,-0.8824112694856052,-0.8823985228111207,RY,-0.8824112694856052,-0.8824112694856052,True,fake_write_recorded,1.3e-05,1.3e-05
axis_sine_fake,24,Aux 2,-0.321645,-0.30895631861440576,-0.30895559599822897,RZ,-0.30895631861440576,-0.30895631861440576,True,fake_write_recorded,1e-06,1e-06
axis_sine_fake,25,Roll,0.904417,0.8500917922529467,0.8500914887962928,X,0.8500917922529467,,False,skipped_rate_limited,0.0,0.0
axis_sine_fake,25,Pitch,0.632593,0.5065438174793819,0.5065441549983509,Y,0.5065438174793819,,False,skipped_rate_limited,0.0,0.0
axis_sine_fake,25,Throttle,0.653101,0.6214869691124912,0.6214899850953021,Z,0.6214869691124912,,False,skipped_rate_limited,3e-06,3e-06
axis_sine_fake,25,Yaw,-0.168597,0.011376717171902837,0.011377973182082866,RX,0.011376717171902837,,False,skipped_rate_limited,1e-06,1e-06
axis_sine_fake,25,Aux 1,-0.904417,-0.8727814685749086,-0.8727813586113603,RY,-0.8727814685749086,,False,skipped_rate_limited,0.0,0.0
axis_sine_fake,25,Aux 2,-0.260395,-0.2604243771292793,-0.26042266068351405,RZ,-0.2604243771292793,,False,skipped_rate_limited,2e-06,2e-06
axis_sine_fake,26,Roll,0.890379,0.8326030152720814,0.8325934319326553,X,0.8326030152720814,,False,skipped_rate_limited,1e-05,1e-05
axis_sine_fake,26,Pitch,0.584192,0.45876162672778936,0.45875991938926186,Y,0.45876162672778936,,False,skipped_rate_limited,2e-06,2e-06
axis_sine_fake,26,Throttle,0.622309,0.5901624108640349,0.5901590973720112,Z,0.5901624108640349,,False,skipped_rate_limited,3e-06,3e-06
axis_sine_fake,26,Yaw,-0.231617,-0.01666868148345497,-0.01666649025422893,RX,-0.01666868148345497,,False,skipped_rate_limited,2e-06,2e-06
axis_sine_fake,26,Aux 1,-0.890379,-0.8574924870359295,-0.8574840693697512,RY,-0.8574924870359295,,False,skipped_rate_limited,8e-06,8e-06
axis_sine_fake,26,Aux 2,-0.197864,-0.21218996735800716,-0.2121859293386791,RZ,-0.21218996735800716,,False,skipped_rate_limited,4e-06,4e-06
